"employees","initial_salaries","salary_adjustments","new_salaries","raising_salaries"
"Employee 30",43727.9510009103,-599.863257957622,43128.0877429526,FALSE
"Employee 31",42991.7528526857,7348.99083501659,50340.7436877023,TRUE
"Employee 32",44358.8047614321,-4343.07449264452,40015.7302687876,FALSE
"Employee 33",44033.1642259844,-121.785125229508,43911.3791007549,FALSE
"Employee 34",40941.8747224845,2523.11984542757,43464.9945679121,TRUE
"Employee 35",47766.9379324652,-2212.30318653397,45554.6347459313,FALSE
"Employee 36",45637.2843054123,-4038.04176370613,41599.2425417062,FALSE
"Employee 37",41082.4369871989,8861.39749200083,49943.8344791997,TRUE
"Employee 38",47710.0316761062,9429.17661159299,57139.2082876991,TRUE
"Employee 39",48017.3026188277,4875.00390270725,52892.3065215349,TRUE
"Employee 40",45313.0307188258,7328.28508946113,52641.3158082869,TRUE
"Employee 41",40428.7715279497,-3875.21907221526,36553.5524557345,FALSE
"Employee 42",47909.9638340995,893.366090022027,48803.3299241215,TRUE
"Employee 43",45215.4708537273,4837.67726225778,50053.1481159851,TRUE
"Employee 44",45943.6310036108,-3540.14628683217,42403.4847167786,FALSE
"Employee 45",41878.9547332563,-1086.4501434844,40792.5045897719,FALSE
"Employee 46",42542.3407531343,-273.649382870644,42268.6913702637,FALSE
"Employee 47",41312.5499407761,-848.695622989908,40463.8543177862,FALSE
"Employee 48",45167.2360068187,6968.65053381771,52135.8865406364,TRUE
"Employee 49",44637.0623260736,2414.58655917086,47051.6488852445,TRUE
"Employee 50",43261.8884718977,504.987858003005,43766.8763299007,TRUE
"Employee 51",42771.8460746109,3788.89002837241,46560.7361029834,TRUE
"Employee 52",44078.0612477101,-2386.30014937371,41691.7610983364,FALSE
"Employee 53",49324.7634335421,-1174.0890389774,48150.6743945647,FALSE
"Employee 54",41946.3959964924,1831.01656613871,43777.4125626311,TRUE
"Employee 55",40501.0891333222,3466.1311947275,43967.2203280497,TRUE
"Employee 56",40312.0699943975,-3838.81580666639,36473.2541877311,FALSE
"Employee 57",40464.9387253448,2492.93646542355,42957.8751907684,TRUE
"Employee 58",45562.1020216495,-3213.33553642035,42348.7664852291,FALSE
"Employee 59",44961.4735157229,-2629.27462230437,42332.1988934185,FALSE
"Employee 60",41954.8702635802,4815.86999143474,46770.740255015,TRUE
"Employee 61",42556.2087609433,-4157.39618474618,38398.8125761971,FALSE
"Employee 62",48308.6661016569,5214.05108622275,53522.7171878796,TRUE
"Employee 63",41240.6073743477,-4694.37298015691,36546.2343941908,FALSE
"Employee 64",48336.9089686312,-2330.64373955131,46006.2652290799,FALSE
"Employee 65",40161.1605170183,2833.18618661724,42994.3467036355,TRUE
"Employee 66",45602.0911945961,1429.38746372238,47031.4786583185,TRUE
"Employee 67",41156.7748221569,7895.62060730532,49052.3954294622,TRUE
"Employee 68",41641.9366584159,-116.584039060399,41525.3526193555,FALSE
"Employee 69",41148.3017657883,3750.03551016562,44898.337275954,TRUE
"Employee 70",46913.9150599949,1337.40073535591,48251.3157953508,TRUE
"Employee 71",41144.1423092037,4514.42609657533,45658.5684057791,TRUE
"Employee 72",49888.3770219982,927.515482762828,50815.892504761,TRUE
"Employee 73",49675.7433540188,-2926.71181727201,46749.0315367468,FALSE
"Employee 74",47018.7847153284,-1827.55050482228,45191.2342105061,FALSE
"Employee 75",49455.0238898955,8292.67016961239,57747.6940595079,TRUE
"Employee 76",48744.2370364442,-4061.93714821711,44682.2998882271,FALSE
"Employee 77",46155.8507732116,3768.63153418526,49924.4823073968,TRUE
"Employee 78",42131.1463462189,4684.24499151297,46815.3913377319,TRUE
"Employee 79",48127.5059701875,6636.66036096402,54764.1663311515,TRUE
"Employee 80",42196.297806222,6709.09740380011,48905.3952100221,TRUE
"Employee 81",44230.8076866902,9072.62758817524,53303.4352748655,TRUE
"Employee 82",41137.5554115511,3652.43996144272,44789.9953729939,TRUE
"Employee 83",49557.3162729852,1166.19651089422,50723.5127838794,TRUE
"Employee 84",48872.5250656717,1310.78960024752,50183.3146659192,TRUE
"Employee 85",42511.4340614527,-2580.14057995752,39931.2934814952,FALSE
"Employee 86",49961.079149507,2163.98323769681,52125.0623872038,TRUE
"Employee 87",49159.2007991858,30.9013831429183,49190.1021823287,TRUE
"Employee 88",44842.1901627444,1222.69878396764,46064.888946712,TRUE
"Employee 89",47814.5434916951,-2025.30177426524,45789.2417174298,FALSE
"Employee 90",49402.766909916,9625.36055943929,59028.1274693552,TRUE
"Employee 91",45875.1556416973,-4885.86040446535,40989.295237232,FALSE
"Employee 92",43089.5748292096,388.253811979666,43477.8286411893,TRUE
"Employee 93",40264.6831003949,3942.61259934865,44207.2956997436,TRUE
"Employee 94",49861.8305288255,198.803874664009,50060.6344034895,TRUE
"Employee 95",48559.574962128,4473.00113504753,53032.5760971755,TRUE
"Employee 96",42658.3811128512,2704.46150680073,45362.8426196519,TRUE
"Employee 97",43470.8730457351,-627.994493115693,42842.8785526194,FALSE
"Employee 98",41100.3399314359,-1667.64109395444,39432.6988374814,FALSE
"Employee 99",46047.0614791848,2572.06282229163,48619.1243014764,TRUE
"Employee 100",40788.0245917477,8133.36644205265,48921.3910338003,TRUE
